image_path,label,split
data/dataset/spectrograms/train/Scottish_dataset___augmented_1_common_voice_en_141102_pitch.png,scottish,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_1_common_voice_en_568153_pitch.png,filipino,train
data/dataset/spectrograms/train/American_dataset_common_voice_en_155430.png,american,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_536173_speed_noise.png,australian,train
data/dataset/spectrograms/test/Scottish_dataset___augmented_1_common_voice_en_18895824_pitch.png,scottish,test
data/dataset/spectrograms/train/Australian_dataset_common_voice_en_1208.png,australian,train
data/dataset/spectrograms/test/India_dataset___augmented_2_common_voice_en_21946729_noise_speed.png,india,test
data/dataset/spectrograms/train/Scottish_dataset_common_voice_en_20037193.png,scottish,train
data/dataset/spectrograms/test/India_dataset___augmented_1_common_voice_en_3798_speed.png,india,test
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_30608684_pitch_pitch_pitch.png,slavic,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_551992_noise_noise.png,india,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_650491_speed_speed.png,irish,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_32696042_noise_speed.png,irish,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_17730664_pitch_noise.png,irish,train
data/dataset/spectrograms/test/American_dataset___augmented_1_common_voice_en_30638956_speed.png,american,test
data/dataset/spectrograms/test/Scottish_dataset___augmented_2_common_voice_en_500563_noise_pitch.png,scottish,test
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_196311_noise_pitch.png,canadian,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_26945631_speed_speed.png,scottish,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_162458_pitch_speed.png,canadian,train
